year,importer1,importer2,flow1
2017,Beachmont,Tufts Medical Center,196
2017,Coolidge Corner,Chinatown,1
2017,Packards Corner,Beachmont,13
2017,Quincy Adams,Chestnut Hill,3
2017,Jackson Square,Central,323
2017,Museum of Fine Arts,Hawes Street,0
2017,Quincy Center,Copley,646
2017,Charles/MGH,Massachusetts Ave.,225
2017,North Quincy,Chestnut Hill,4
2017,Bowdoin,Boston College,1
2017,Brigham Circle,Eliot,0
2017,Beaconsfield,Wonderland,0
2017,Stony Brook,World Trade Center,49
2017,Oak Grove,Prudential,20
2017,Pleasant Street,Chestnut Hill Ave.,72
2017,Alewife,Chinatown,29
2017,Woodland,Government Center,315
2017,Hynes Convention Center,Woodland,240
2017,Tufts Medical Center,Reservoir,10
2017,Mattapan,Wollaston,3
2017,Green Street,Blandford Street,8
2017,Saint Mary Street,Assembly,11
2017,Malden Center,Coolidge Corner,102
2017,Dean Road,Arlington,75
2017,Davis,Newton Centre,33
2017,Prudential,Pleasant Street,7
2017,Kendall/MIT,Tappan Street,40
2017,Tappan Street,Suffolk Downs,1
2017,Valley Road,Haymarket,0
2017,Valley Road,Jackson Square,0
2017,Revere Beach,Brookline Village,52
2017,Symphony,Community College,52
2017,Summit Ave.,Quincy Adams,10
2017,Boston Univ. East,Fenwood Road,0
2017,Prudential,Maverick,399
2017,Stony Brook,Tufts Medical Center,857
2017,Roxbury Crossing,Washington Square,1
2017,Griggs Street,Wood Island,0
2017,Alewife,Warren Street,7
2017,Prudential,Quincy Adams,182
2017,Science Park,Beaconsfield,5
2017,Dean Road,Stony Brook,0
2017,Boston Univ. Central,Sullivan Square,16
2017,Pleasant Street,Quincy Center,12
2017,Wonderland,Mattapan,1
2017,Central Ave.,Cedar Grove,251
2017,South Station,Beachmont,109
2017,Community College,Quincy Center,250
2017,Brookline Hills,Sutherland Road,0
2017,Government Center,Chiswick Road,43
2017,JFK/Umass,Back Bay,763
2017,Sutherland Road,Stony Brook,0
2017,Newton Centre,Malden Center,33
2017,Back Bay,Heath Street,2
2017,Aquarium,Community College,122
2017,South Station,Park Street,2438
2017,Boston Univ. West,Downtown Crossing,1
2017,Wollaston,Northeastern University,27
2017,Park Street,Government Center,837
2017,Brigham Circle,Valley Road,0
2017,Community College,Brigham Circle,32
2017,Downtown Crossing,Beachmont,244
2017,Porter,Lechmere,148
2017,Chestnut Hill,South Station,87
2017,Suffolk Downs,Mission Park,3
2017,Brigham Circle,Chestnut Hill,1
2017,Tufts Medical Center,Hynes Convention Center,48
2017,Saint Mary Street,Science Park,9
2017,Davis,Riverway,21
2017,Tufts Medical Center,Harvard,288
2017,Chinatown,Wood Island,154
2017,Summit Ave.,Alewife,11
2017,Packards Corner,North Station,97
2017,Allston Street,Symphony,17
2017,Fairbanks Street,Hynes Convention Center,234
2017,Northeastern University,Englewood Ave.,2
2017,Riverway,Mission Park,46
2017,North Station,Brookline Village,156
2017,Riverside,Blandford Street,6
2017,Griggs Street,Chestnut Hill,7
2017,Haymarket,Newton Highlands,57
2017,Newton Centre,Porter,26
2017,Museum of Fine Arts,Blandford Street,6
2017,Shawmut,Alewife,112
2017,Science Park,Assembly,23
2017,Chiswick Road,Beaconsfield,1
2017,Courthouse,Fields Corner,106
2017,Green Street,Davis,172
2017,Dean Road,Packards Corner,0
2017,Kendall/MIT,Warren Street,44
2017,Boston Univ. East,Chestnut Hill Ave.,51
2017,South Station,Prudential,359
2017,Chestnut Hill Ave.,Hynes Convention Center,68
