year,importer1,importer2,flow1
2017,Red,Blue,39
2017,Green,Orange,9
2017,Green,Red,6
2017,Blue,Green,280
2017,Orange,Green,6
2017,Green,Green,9
2017,Red,Red,240
2017,Green,Green,49
2017,Orange,Orange,189
2017,Red,Green,597
2017,Blue,Green,17
2017,Green,Red,16
2017,Green,Blue,16
2017,Green,Green,5
2017,Green,Orange,66
2017,Red,Blue,375
2017,Green,Red,65
2017,Red,Blue,0
2017,Blue,Green,28
2017,Blue,Green,24
2017,Blue,Green,39
2017,Green,Green,0
2017,Green,Orange,5
2017,Green,Orange,3542
2017,Green,Blue,12
2017,Green,Red,3
2017,Blue,Green,6
2017,Green,Blue,84
2017,Green,Green,34
2017,Orange,Green,4
2017,Black,Green,45
2017,Red,Green,1140
2017,Red,Blue,18
2017,Red,Red,10
2017,Red,Green,31
2017,Green,Green,55
2017,Red,Orange,28
2017,Green,Red,38
2017,Green,Green,1
2017,Green,Green,3
2017,Green,Green,98
2017,Blue,Red,41
2017,Green,Green,53
2017,Green,Orange,0
2017,Green,Green,0
2017,Orange,Green,11
2017,Green,Red,9
2017,Red,Green,52
2017,Orange,Blue,36
2017,Green,Green,0
2017,Red,Green,4
2017,Orange,Green,5
2017,Green,Green,3
2017,Green,Green,103
2017,Green,Green,167
2017,Green,Green,6
2017,Green,Orange,0
2017,Orange,Red,89
2017,Red,Red,4
2017,Red,Red,5
2017,Green,Green,178
2017,Blue,Gray,6
2017,Red,Green,7
2017,Blue,Red,148
2017,Green,Blue,35
2017,Green,Green,68
2017,Green,Blue,34
2017,Black,Green,161
2017,Green,Green,5
2017,Gray,Green,17
2017,Green,Green,0
2017,Orange,Blue,454
2017,Green,Green,1
2017,Green,Green,189
2017,Red,Red,22
2017,Orange,Red,37
2017,Green,Green,0
2017,Green,Red,151
2017,Green,Green,17
2017,Green,Green,0
2017,Green,Green,342
2017,Green,Black,444
2017,Red,Orange,0
2017,Green,Red,11
2017,Red,Green,16
2017,Green,Green,1
2017,Blue,Green,13
2017,Black,Black,4
2017,Green,Green,3
2017,Orange,Blue,205
2017,Orange,Red,191
2017,Blue,Green,116
2017,Blue,Green,1
2017,Green,Green,320
2017,Black,Green,1413
2017,Green,Orange,78
2017,Red,Green,0
2017,Green,Green,3
2017,Green,Red,123
2017,Green,Green,120
2017,Orange,Green,14
2017,Green,Red,0
2017,Green,Red,10
2017,Red,Red,37
2017,Green,Green,60
2017,Green,Gray,4
2017,Black,Orange,173
2017,Red,Green,16
2017,Green,Green,30
2017,Red,Green,69
2017,Red,Red,2660
2017,Green,Red,6
2017,Orange,Green,13
2017,Blue,Red,256
2017,Green,Green,1
2017,Red,Green,43
2017,Green,Green,0
2017,Green,Green,1
2017,Green,Red,23
2017,Red,Orange,65
2017,Blue,Orange,1236
2017,Blue,Orange,50
2017,Orange,Green,843
2017,Orange,Green,92
2017,Orange,Red,24
2017,Green,Green,0
2017,Green,Green,0
2017,Green,Red,1
2017,Orange,Orange,1129
2017,Green,Green,16
2017,Green,Blue,2
2017,Green,Green,72
2017,Green,Red,62
2017,Green,Green,11
2017,Red,Green,4
2017,Green,Green,9
2017,Red,Blue,16
2017,Green,Orange,46
2017,Red,Green,715
2017,Black,Green,79
